,post
182,"look: the manila department of social welfare (mdsw) prepared hot meals and food boxes for families currently staying at the jose abad santos high school evacuation site.

manila disaster risk reduction and management office personnel led by dir. arnel angeles evacuated residents of isla puting bato as well as baseco earlier today due to heavy rains and continuous rise of floodwaters in the said areas.

#alertomanileno"
183,"look: covid-19 safety marshals went around barangay 862 zone 94 yesterday, tuesday, july 27. they wanted to check if people there were following the prescribed health protocols.

covid-19 safety marshals are mtpb enforcers dwho have been deputized to call out people who are not following the prescribed health protocols. for instance, they call out those who are not wearing face masks or face shields correctly, as well as those who are not practicing physical distancing.

#alertomanileno
#covid19ph"
184,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 27, 2021.

#alertomanileno #covid19ph"
185,"'tuloy ang kapanatagan sa lungsod ng maynila'

abangan mamayang ika-11 ng umaga ang ikatlong state of the city address ni mayor francisco 'isko moreno' domagoso.

#alertomanileno #bagongmaynila"
186,"bantay covid-19: narito ang datos ng covid-19 sa lungsod ng maynila ngayong ika-4 ng agosto

#alertomanileno #covid19ph"
187,"look: manila mayor francisco isko moreno domagoso and vice mayor honey lacuna-pangan with other city government officials during the third state of the city address of the domagoso administration.

#alertomanileno #bagongmaynila"
188,"city health advisory: the gat andres bonifacio memorial medical center (gabmmc) will limit the admission of patients in its emergency room (er) to emergency cases only starting on july 30, 2021 (friday) at 8:00am until july 31, 2021 (saturday) at 8:00am.

this is to make way for the er's terminal cleaning and disinfection.

you may refer to gat andres bonifacio memorial medical center's official facebook page for more information.

#alertomanileno"
189,"manila mass vaccination update: the city of manila broke its own covid-19 vaccination record once again as it reached an all-time high with 44,077 individuals inoculated on tuesday, july 20.

#alertomanileno #covid19ph"
190,"look: the dps information, education, and communication (iec) team recently discussed waste management and segregation with the residents of the newly launched basecommunity.

basecommunity, which is one of the city of manila's flagship in-city housing projects, is composed of 229 two-story units. it's part of barangay 649 zone 68, which is led by barangay chair diana espinosa.

#alertomanileno"
191,"more than 290,000 covid-19 food security program (fsp) boxes have been delivered to 346 barangays as of 5 p.m. today, monday, july 12.

the food box deliveries for district 1 and district 2 have been completed. so far, the depw, dps, and mtpb personnel have already reached 88 barangays in district 3 and they will continue to deliver fsp boxes there tomorrow, tuesday, july 13.

#alertomanileno"
192,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 19, 2021.

#alertomanileno #covid19ph"
193,"look: dps team mandaragat and dps baseco beach warriors cleaned up the shoreline of manila bay and baseco beach today, friday, july 30. they also cleaned up the roxas boulevard area.

the bulk of the garbage hauled in the clean-up activity were assorted waste materials and debris that also come from neighboring areas of manila.

#alertomanileno"
194,"tingnan: narito ang naging sitwasyon sa iba't ibang vaccination sites sa lungsod ng maynila ngayong araw, ika-16 ng hulyo.

ito'y sa gitna po ng ating magkakasabay na second dose vaccination sa mall at lgu hospital sites.

ilang paalala sa mga magpapabakuna:

hanggang 7pm ang bakunahan ngayong araw hinihikayat ang lahat na magtungo sa vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

dalhin o qr code para sa verification at huwag pong kalimutang sumunod sa health protocols pagdating sa vaccination site.

huwag kalimutan ang pagsunod sa health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
195,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 28, 2021.

#alertomanileno #covid19ph"
196,"watch: dps personnel unload covid-19 food security program (fsp) boxes at
barangay 829 zone 90.

the community, which is headed by barangay chair armand vincent s. timbol, is among the first batch of barangays to get their fsp boxes today, sunday, july 18.

#alertomanileno"
197,"news alert: ‘construction more viral than covid-19’ —mayor isko

manila city mayor francisco 'isko moreno' domagoso said on thursday, july 15, that infrastructure investment in the nation's capital improved despite the ongoing covid-19 pandemic.

reporting for his third state of the city address, domagoso said that infrastructure investment reached p148 billion or a 43% increased compared to last year's data.

the mayor also said that the number of new business applications increased to 4,829 from january 1 to june 25, 2021 compared to 2,933 of the same time period last year.

the local government of manila has also collected 71.36% of its real property tax full year target for the first half of 2021 alone.

over-all revenue collection were likewise recorded at p19,177,099,394 from july 1, 2020 to june 30, 2021.

this is equivalent to a 50.71% increase compared to last year's despite the following factors: 20% reduction of real property taxes on all classes of real properties; decreased share from internal revenue allotment; and the covid-19 pandemic.

""sabi ng iba fiscal miracle daw. buong kababaang loob na sagot ko: walang himala, pwede pala, kaya pala,"" domagoso said.

""if people are shown how taxes they have paid are spent, they will pay it, on time. i say it again: the best way to promote tax obedience is to practice good governance,"" he added.

domagoso attributed the increases to the pro-business policies and programs that the city government implemented amid the covid-19 pandemic.

among the policies placed were the continuation of movement of cargo trucks in port area, the round-the-clock operation at divisoria night market, and the free offer of covid-19 testing for the private sector.

continuous consultation with business groups and the launching of manila restaurant week were also part of the advocacy of the government in supporting local businesses.

""if businesses see an investment environment that is fair, they will bring their capital here; and we have demonstrated to them that profit with honor can be earned in manila,"" he added.

#alertomanileno #bagongmaynila"
198,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 24, 2021.

#alertomanileno #covid19ph"
199,"news alert: maynila ‘zero tolerance’ sa krimen kahit covid-19 pandemic

walang lugar ang kriminalidad sa lungsod ng maynila sa kabila ng patuloy na hirap dulot ng covid-19 pandemic.

ito ang inihayag ni manila city mayor francisco 'isko moreno' domagoso sa kanyang ikatlong state of the city address ngayong martes, ika-15 ng hulyo.

""zero tolerance against crime ang prinsipyong gumagabay sa atin,"" sabi ni domagoso.

""hindi pwede ang fire-aim-ready kind of justice dito. i-aresto, i-habla, i-kulong. huwag yung ilibing agad. sapagkat ginawa mo ang huli, sabit ka na sa batas, sabit ka pa sa mata ng diyos. rule of law as a matter of policy should be followed. rules should be applicable to everyone,"" dagdag niya.

ayon sa datos ng manila police district (mpd), patuloy ang pagbaba ng kaso ng kriminalidad ang naitatala sa kapitolyo ng bansa simula nang umupo sa pwesto si domagoso.

lumabas sa kanilang datos na mula june 2018 hanggang june 2019, mayroon 4,140 kaso ng krimen ang naitala sa maynila; ngunit pamula july 2020 hanggang june 2021, mayroon na lamang itong 2,755 kaso ang naitala

umabot naman sa humigit kumulang na 22,188 gramo o p151 milyong halaga ng shabu, 7,028 gramo o p843,420 halaga ng marijuana, at 117 piraso o p198,900 halaga ng ecstasy ang nasabat ng kapulisan mula july 2020 hanggang june 2021.

""tanggalin ang droga sa kalsada. pahirapan, pahirapan, pahirapan sila o kaya puksain puksain puksain ang mga drug lord, drug pusher,"" ani domagoso.

nasa 1,847 na most wanted person naman ang inaresto ng mga kawani ng mpd.

samantala, umabot rin sa 2,880 ang inaresto ng mpd dahil sa iba’t ibang kaso at 280 indibidwal ang nahulihan na may loose firearms.

“iaresto, ihabla, ikulong. rule of law must be observed at all time,” diin ng punong lungsod.

#alertomanileno #bagongmaynila"
200,"bantay covid-19: narito ang datos ng covid-19 sa lungsod ng maynila ngayong ika-6 ng agosto

#alertomanileno #covid19ph"
201,"in photos: manila disaster risk reduction and management office director arnel angeles personally overseeing the ongoing evacuation operations at isla puting bato. evacuees will be transferred to jose abad santos elementary school.

evacuation at baseco evacuation center is likewise ongoing as part of the city's preventive measures among the public.

#alertomanileno"
202,"tingnan: naglinis ang mga kawani ng pampublikong pamilihan ng new arranque, sampaloc, divisoria, pampanga, obrero, central, dagonoy at pritil ngayong araw ng biyernes, ika-6 ng agosto bilang pagtugon sa direktiba ni punong lungsod francisco 'isko moreno' domagoso na mapanatiling malinis, maaliwalas at ligtas ang maynila.

#alertomanileno"
203,"tingnan: nagpunta ang kadiwa rolling store sa barangay 66 zone 6 at barangay 20 zone 2 sa district 1 ngayong araw, july 29.

simula abril 2020 ay umiikot ang kadiwa rolling store dala-dala ang mga murang bilihin para sa mga batang maynila.

katuwang ng lungsod ng maynila ang department of agriculture, teresita's fruits and vegetables, tinapayan festival, dagupan boneless bangus, food crafters frozen products, taste buds at puregold para sa programang ito na patuloy na sinusuyod ang mga barangay sa maynila upang makapagdala ng mga pangunahing bilihin sa kani-kanilang mga tahanan.

#alertomanileno"
204,"watch: dps personnel delivered the covid-19 food security program (fsp) boxes for barangay 730 zone 79 earlier today, friday, july 16. the said community, which is part of district 5, is headed by barangay chair antonio abad.

the fsp box deliveries for district 5 are ongoing.

#alertomanileno"
205,"it's day 10 of the covid-19 food security program (fsp) operations for this month. depw, dps, and mtpb personnel have already delivered 550,000 food boxes as of 5 p.m. today, saturday, july 17.

all in all, 757 barangays have already gotten their fsp allocations. with district 1, 2, 3, and 4 deliveries completed, only district 5 and 6 barangays remain. the fsp delivery resumes once more tomorrow.

#alertomanileno"
206,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 17, 2021.

#alertomanileno #covid19ph"
207,"tingnan: agad pinuntahan ng mtpb first responder unit (fru) ang mga nasaktan sa aksidente sa motorsiklo na nangyari sa harap ng kartilya ng katipunan kahapon, agosto 2.

ang mtpb fru ay handang rumesponde sa sinumang nangangailangan ng pangunang lunas o kailangan dalhin agad sa ospital.

#alertomanileno"
208,"tingnan: nagpunta sa barangay 866 zone 95 ngayong biyernes, agosto 6, ang ating mga covid-19 safety marshals at ang mga bumubuo ng mtpb first responder unit (fru) para obserbahan ang kalagayan ng mga tao doon sa unang araw ng ecq.

nagpaalala din sila sa mga residente ng nasabing barangay na patuloy sundin ang mga health protocols at mag-ingat sa delta variant.

#alertomanileno"
209,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 13, 2021.

#alertomanileno #covid19ph"
210,"abiso sa publiko: narito ang bagong oras ng operasyon ng robinsons place manila simula ngayong biyernes, ika-6 ng agosto.

ito ay matapos isailalim ang lungsod ng maynila sa enhanced community quarantine hanggang sa ika-20 ng agosto.

maliban dito, magbibigay rin ang pamunuan ng nasabing oras ng libreng parking sa publiko sa mga nakasaad na petsa at oras.

para sa listahan ng mga bukas na tindahan sa robinsons place manila, maaaring pindutin ang link na ito: https://www.facebook.com/robplacemanila/posts/1421010631632665

#alertomanileno #covid19ph"
211,"look: barangay 629 zone 63 is among the district 6 barangays that have already gotten their covid-19 food security program (fsp) boxes today, saturday, july 17.

the dps personnel, along with depw and mtpb personnel, are doing everything to speed up the food box deliveries.

#alertomanileno"
212,"look: the dps district 3 team conducted a sweeping operation earlier today, thursday, july 29. they covered the delpan bridge, laong laan road, alfonso mendoza street, dimasalang road, lacson avenue, and the surroundings of sm san lazaro — which includes felix huertas road.

meanwhile, the dps district 3 sweepers conducted a flushing operation at the plaza miranda area.

#alertomanileno"
213,"around 400,000 covid-19 food security program (fsp) boxes have been delivered to 513 barangays as of 5 p.m. today, wednesday, july 14.

the food box deliveries for district 4 are nearly done. the depw, dps, and mtpb personnel have already reached 132 barangays in the said district.

#alertomanileno"
214,"tingnan: nagpunta ang kadiwa rolling store sa barangay 686 zone 75 at barangay 773 zone 84 sa district 5 ngayong araw, july 19.

simula abril 2020 ay umiikot ang kadiwa rolling store dala-dala ang mga murang bilihin para sa mga batang maynila.

katuwang ng lungsod ng maynila ang department of agriculture, teresita's fruits and vegetables, tinapayan festival, dagupan boneless bangus, food crafters frozen products, taste buds at puregold para sa programang ito na patuloy na sinusuyod ang mga barangay sa maynila upang makapagdala ng mga pangunahing bilihin sa kani-kanilang mga tahanan.

#alertomanileno"
215,"more than 290,000 covid-19 food security program (fsp) boxes have been delivered to 346 barangays as of 5 p.m. today, monday, july 12.

the food box deliveries for district 1 and district 2 have been completed. so far, the depw, dps, and mtpb personnel have already reached 88 barangays in district 3 and they will continue to deliver fsp boxes there tomorrow, tuesday, july 13.

#alertomanileno"
216,"tingnan: patuloy ang pag-iikot ng dps quick response team (qrt) para maghakot ng basura sa kamaynilaan ngayong miyerkules, agosto 4.

kabilang sa mga kalye at abenida na napuntahan na nila kanina ay ang quirino, angel linao, pedro gil, paz, at sta. cruz, rizal, oroquieta, yuseco, antipolo, leonor rivera, blumentritt, at pampanga. dumaan din sila sa antonio regidor elementary school para hakutin ang mga pinutol na sanga ng puno.

#alertomanileno"
217,"look: the dps baseco beach warriors cleaned up baseco beach in port area today, tuesday, july 27.

barring extreme weather, the dps baseco beach warriors conduct daily clean-up drives in the area. this is to ensure that every piece of garbage, mostly those that are washed up on the shore, is picked up and disposed of properly.

#alertomanileno"
218,"tingnan: naglinis ang mga kawani ng mga pampublikong pamilihan ng wagas, new arranque, divisoria, central, sampaloc, pritil, obrero, new sta. ana at pampanga ngayong araw ng martes, ika-3 ng agosto.

#alertomanileno"
219,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 18, 2021.

#alertomanileno #covid19ph"
220,"abiso sa publiko: narito ang bagong oras ng operasyon ng lucky chinatown mall simula ngayong biyernes, ika-6 ng agosto.

ito ay matapos isailalim ang lungsod ng maynila sa enhanced community quarantine hanggang sa ika-20 ng agosto.

pinapaalala ng pamunuan ng nasabing mall na sundin ang mga health protocol sa lahat ng oras.

#alertomanileno #covid19ph"
221,"it's day 6 of the covid-19 food security program (fsp) operations for this month. the depw, dps, and mtpb personnel have delivered 350,000 food boxes as of 5 p.m. this afternoon, tuesday, july 13.

the fsp deliveries for district 1 (136 barangays), district 2 (122 barangays), and district 3 (123 barangays) have been completed. meanwhile, in district 4, 40 barangays have already gotten their fsp box allocations.

the food box deliveries for district 4 will continue tomorrow, wednesday, july 14.

#alertomanileno"
222,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng central market, new arranque market, obrero market, dagonoy market, divisoria market, pritil market, trabajo market at pampanga market ngayong araw ng miyerkules, july 28.

bahagi ng isinasagawang malawakang cleaning operation ang araw-araw na paglilinis ng mga kawani ng market administration office sa labimpitong pampublikong pamilihan nito. ang cleaning operations na ito ay bilang pagtugon sa direktiba ni mayor francisco 'isko moreno' domagoso na mapanatiling malinis, maaliwalas at ligtas ang lungsod ng maynila.

#alertomanileno"
223,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng new arranque market, dagonoy market, pritil market, obrero market at central market ngayong araw ng miyerkules, july 14.

bahagi ng pagsasaayos sa lungsod ng maynila ang araw-araw na paglilinis ng mga kawani ng market administration office sa labimpitong pampublikong pamilihan nito.

#alertomanileno"
224,"look: the dps estero rangers conducted a clean-up operation at the estero de san antonio de abad — which is located along adriatico street — today, thursday, july 22.

the dps estero rangers have been regularly cleaning up esteros in the city. in line with this, the city government of manila is reminding the public that esteros should not be used as dump sites.

#alertomanileno"
225,"tingnan: kahit na maulan ay nagpatuloy sa pagsasagawa ng cleaning operation ang mga kawani ng new arranque market, pampanga market, central market, pritil market, dagonoy market, obrero market at divisoria market ngayong araw ng miyerkules, july 21.

#alertomanileno"
226,"sa mga kapatid po nating muslim, nais po namin kayong batiin ng eid mubarak sa inyong paggunita ng eid al-adha! dito po sa maynila ay pantay-pantay at iisa tayo, mga batang maynila 😊 —mayor isko moreno domagoso"
227,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng new arranque market, pritil market, divisoria market, central market, obrero market, pampanga market at sampaloc market ngayong umaga ng huwebes, july 22.

#alertomanileno"
228,"look: after 13 days of operations for the month of july, the delivery of covid-19 food security program (fsp) boxes was completed at 4 p.m. today, tuesday, july 20.

more than 692,000 families living in the capital city's 896 barangays, as well as those living in the jaime cardinal sin village, received food boxes.

this is the sixth straight month of fsp operations in manila.

#alertomanileno"
229,"tingnan: naglinis ang mga kawani ng new arranque market, dagonoy market, divisoria market, pampanga market, pritil market at central market ngayong martes, july 13 bilang pagsunod sa direktiba ni mayor francisco 'isko moreno' domagoso.

utos ng alkalde na mapanatiling malinis, maaliwalas at ligtas ang lungsod ng maynila, kasama na ang labimpitong pampublikong pamilihan na hawak ng market administration office.

#alertomanileno"
230,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng new arranque market, pampanga market, divisoria market, dagonoy market, pritil market at central market ngayong araw ng lunes, july 19.

#alertomanileno"
231,"it's day 11 of the covid-19 food security program (fsp) operations for the month of july! depw, dps, and mtpb personnel have already delivered 600,000 food boxes to 814 barangays as of 5 p.m. today, sunday, july 18.

the fsp delivery to the following districts have already been completed:

district 1 - 136 brgys.
district 2 - 122 brgys.
district 3 - 123 brgys.
district 4 - 192 brgys.
district 5 - 184 brgys.

meanwhile, in district 6, 57 barangays have gotten their fsp boxes. the delivery of food boxes resumes tomorrow.

#alertomanileno"
232,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng new arranque market, divisoria market, wagas market, pampanga market, central market, sampaloc market at obrero market ngayong araw ng biyernes, july 30.

#alertomanileno"
233,"tingnan: ang vib special enforcement squad — na nasa pamamahala ni dr. nick santos jr. — ay nag-inspeksyon sa palengke ng blumentritt at dagonoy kaninang madaling araw.

kinumpiska nila ang ilang lata ng luncheon meat mula china. hindi muna kasi pinapayagang makapasok sa bansa ang mga ito dahil laganap ang african swine flu (asf) doon.

#alertomanileno
#onevib
#samayniladiyosanguna"
234,"look: dps personnel — in partnership with the world wide fund (wwf)-philippines and and amh philippines — conducted a dry run of the waste analysis characterization study (wacs) held at the sases covered court at hipodromo covered court today, monday, july 26.

wacs is part of wwf-philippines' plastic smart cities project, which aims to curb plastic pollution.

#alertomanileno"
235,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 16, 2021.

#alertomanileno #covid19ph"
236,"tingnan: nagpunta ang kadiwa rolling store sa arangay 83 zone 7 at barangay 60 zone 5 sa district 1 ngayong araw, july 13.

simula abril 2020 ay umiikot ang kadiwa rolling store dala-dala ang mga murang bilihin para sa mga batang maynila.

katuwang ng lungsod ng maynila ang department of agriculture, teresita's fruits and vegetables, tinapayan festival, dagupan boneless bangus, food crafters frozen products, taste buds at puregold para sa programang ito na patuloy na sinusuyod ang mga barangay sa maynila upang makapagdala ng mga pangunahing bilihin sa kani-kanilang mga tahanan.

#alertomanileno"
237,"tingnan: nagsagawa ng cleaning operation ang mga kawani ng new arranque market, pampanga market, divisoria market, central market, pritil market, dagonoy market, obrero market at sampaloc market ngayong umaga ng biyernes, july 23.

#alertomanileno"
238,"look: the department of public services (dps) — in cooperation with the metropolitan manila development authority (mmda) — conducted a massive hauling operation in the manila bay and roxas boulevard area on tuesday, july 27.

they hauled around 205.56 tons of garbage, the bulk of which was composed of assorted garbage that washed up along the manila bay shoreline since july 21. bad weather had prevented the immediate hauling of pieces of damaged wood, plastic bottles, tree branches, and other debris.

#alertomanileno"
239,"tingnan: nagpunta ang kadiwa rolling store sa barangay 423 zone 43 at barangay 464 zone 47 sa district 4 ngayong araw, july 22.

simula abril 2020 ay umiikot ang kadiwa rolling store dala-dala ang mga murang bilihin para sa mga batang maynila.

katuwang ng lungsod ng maynila ang department of agriculture, teresita's fruits and vegetables, tinapayan festival, dagupan boneless bangus, food crafters frozen products, taste buds at puregold para sa programang ito na patuloy na sinusuyod ang mga barangay sa maynila upang makapagdala ng mga pangunahing bilihin sa kani-kanilang mga tahanan.

#alertomanileno"
240,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng divisoria market, pampanga market, central market, obrero market, wagas market, dagonoy market at pritil market ngayong araw ng martes, july 27.

#alertomanileno"
241,"look: the mdrrmo team conducted misting and fogging operations at arsenio h. lacson elementary school at around 11:02 a.m. today, friday, july 30. the school was just one of several areas on their list.

misting and fogging operations are part of the city of manila's strict daily disinfection and sanitation routines.

#alertomanileno"
242,"the covid-19 food security program (fsp) operations for july is now on its 8th day. so far, more than 448,000 families have gotten their food boxes.

the fsp box deliveries have been completed for district 1 (136 barangays), district 2 (122 barangays), and district 3 (123 barangays).

meanwhile, the depw, dps, and mtpb personnel have delivered food boxes to 190 barangays in district 4 and 18 barangays in district 5. their deliveries in the two districts resume tomorrow.

#alertomanileno"
243,"look: the mtpb first responder unit (fru) continues to do the rounds in the city of manila. among those whom its personnel have helped in the past few days are people who were hurt in road accidents at jones bridge, hermosa street, and in front of the north cemetery.

the mtpb fru also assisted people whose homes were affected in the fire that broke out along dagonoy street and onyx street a few days ago.

#alertomanileno"
244,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng new arranque market, dagonoy market, sampaloc market, central market at divisoria market ngayong araw ng huwebes, july 29.

bilang pagsunod sa direktiba ni mayor francisco 'isko moreno' domagoso ay araw-araw na nagsasagawa ng cleaning operation ang mga kawani ng market administration office upang mapanatili itong malinis, maaliwalas at ligtas.

#alertomanileno"
245,"depw, dps, and mtpb personnel have delivered a total of 490,000 covid-19 food security program (fsp) boxes to 688 barangays as of 5 p.m. today, friday, july 16.

so far, the fsp delivery has been completed in the following districts:

district 1 - 136 brgys.
district 2 - 122 brgys.
district 3 - 123 brgys.
district 4 - 192 brgys.

meanwhile, in district 5, 115 barangays have already gotten their food box allocations. the fsp delivery will resume for the rest of the barangays there tomorrow, saturday, july 17.

#alertomanileno"
246,"tingnan: ang dps team mandaragat at dps baseco beach warriors ay nakitang naglilinis sa paligid ng roxas boulevard at baseco beach sa port area ngayong martes, agosto 3.

araw-araw na nililinis ng dps team mandaragat at dps baseco beach warriors ang mga nasabing lugar. ito ay para hindi maipon ang mga basurang inaanod mula sa mga karatig-lugar.

#alertomanileno"
247,"tingnan: nagsimulang maglinis ng mga portalet ang mga kawani ng mdrrmo bandang 11:03 a.m. ngayong martes, agosto 3.

kabilang sa mga nilinis nila ay ang mga portalets na nakalagay sa quirino grandstand, gat andres bonifacio memorial medical center, patricia sports complex quarantine facility, ospital ng sampaloc, at sta. ana hospital.

#alertomanileno"
248,"tingnan: kasalukuyang namamahagi ng hot meals ang manila department of social welfare (mdsw) sa evacuees mula sa baseco at isla puting bato na nananatili sa jose abad santos high school at brgy. 101 covered court.

kaugnay nito, patuloy naman ang pagpapaala ni mayor francisco 'isko moreno' domagoso sa mga manilenyo na mag-ingat at manatiling nakaalerto sa gitna ng malakas na pagbuhos ng ulan sa lungsod.

#alertomanileno"
249,"tingnan: nagsagawa ng cleaning, weeding, trimming at hauling of garbage operations ang mga kawani ng parks development office (pdo) operation group 4 sa bonifacio drive center island, at operation group 2 sa roxas blvd. center island ngayong araw ng biyernes, july 16.

#alertomanileno"
250,"tingnan: nagpunta ang kadiwa rolling store sa barangay 587 zone 58 at barangay 599 zone 59 sa district 6 ngayong araw, july 16.

simula abril 2020 ay umiikot ang kadiwa rolling store dala-dala ang mga murang bilihin para sa mga batang maynila.

katuwang ng lungsod ng maynila ang department of agriculture, teresita's fruits and vegetables, tinapayan festival, dagupan boneless bangus, food crafters frozen products, taste buds at puregold para sa programang ito na patuloy na sinusuyod ang mga barangay sa maynila upang makapagdala ng mga pangunahing bilihin sa kani-kanilang mga tahanan.

#alertomanileno"
251,"look: depw, dps, and mtpb personnel have delivered a total of 670,000 covid-19 food security program (fsp) boxes to 857 barangays, as well as the jaime cardinal sin village, as of 5 p.m. ngayong lunes, july 19.

the food box deliveries resume tomorrow for the remaining barangays of district 6.

#alertomanileno"
252,"tingnan: bilang bahagi ng pangangalaga sa lungsod ng maynila ay naglinis ang mga kawani ng dagonoy market, central market, new sta. ana market, san andres market at pritil market ngayong araw ng lunes, july 19.

#alertomanileno"
253,"look: the department of public services (dps) teamed up with the metro manila development authority (mmda) for a special hauling operation at the san andres pumping station that began yesterday, monday, july 12 and finished today, tuesday, july 13.

the dps and mmda personnel hauled around 110 cubic meters of estero waste.

#alertomanileno"
254,"tingnan: nagsagawa ng afternoon cleaning operation ang mga kawani ng dagonoy market, pampanga market, at central market ngayong araw ng lunes, july 26.

#alertomanileno"
255,"tingnan: nagsagawa ng morning cleaning operation ang mga kawani ng divisoria market, new arranque market, central market, pritil market, sampaloc market, dagonoy market, san andres market at pampanga market ngayong araw ng biyernes, july 16.

#alertomanileno"
